1.087328407936627315e+02,1.310537196873189885e+02
1.200683558947317380e+02,1.188863878552317743e+02
1.043392131048527602e+02,1.313657893348226935e+02
1.171452212332308278e+02,1.239028965497548000e+02
8.172966828995079425e+00,1.171142648512036430e+02
7.271269504549015217e+00,1.266192810489299063e+02
4.285035541387163249e+00,1.405688059044843214e+02
1.062348844423372753e+02,3.900450880560952793e-01
9.259023163029482362e+01,5.628708460268036617e+00
1.090290244589996149e+02,5.786263871713022588e+00
