1.091440381173124052e+02,1.317889959839619110e+02
1.213873906211250784e+02,1.201871340557946439e+02
1.045606363151689777e+02,1.319492708268752779e+02
1.181579111086388423e+02,1.250324370196087926e+02
4.459502659303044680e+00,1.153059681752393999e+02
3.492409262296302330e+00,1.242849783165858213e+02
9.201141916547276797e-03,1.377709054853410464e+02
1.111642599170974250e+02,3.248200298100402783e+00
9.639534506439058248e+01,8.362422547055034627e+00
1.135258194091434945e+02,9.034446546262786981e+00
